stockcode,stockname,date,lagclose,close,marketvalue,region
FCHI.GI,法国CAC40,20191211,5848.03,5860.88,0,法国
FCHI.GI,法国CAC40,20191212,5860.88,5884.26,0,法国
FCHI.GI,法国CAC40,20191213,5884.26,5919.02,0,法国
FCHI.GI,法国CAC40,20191216,5919.02,5991.66,0,法国
FCHI.GI,法国CAC40,20191217,5991.66,5968.26,0,法国
FCHI.GI,法国CAC40,20191218,5968.26,5959.6,0,法国
FCHI.GI,法国CAC40,20191219,5959.6,5972.28,0,法国
FCHI.GI,法国CAC40,20191220,5972.28,6021.53,0,法国
FCHI.GI,法国CAC40,20191223,6021.53,6029.37,0,法国
FCHI.GI,法国CAC40,20191224,6029.37,6029.55,0,法国
FCHI.GI,法国CAC40,20191227,6029.55,6037.39,0,法国
FCHI.GI,法国CAC40,20191230,6037.39,5982.22,0,法国
FCHI.GI,法国CAC40,20191231,5982.22,5978.06,0,法国
FCHI.GI,法国CAC40,20200102,5978.06,6041.5,0,法国
FCHI.GI,法国CAC40,20200103,6041.5,6044.16,0,法国
FCHI.GI,法国CAC40,20200106,6044.16,6013.59,0,法国
FCHI.GI,法国CAC40,20200107,6013.59,6012.35,0,法国
FCHI.GI,法国CAC40,20200108,6012.35,6031,0,法国
FCHI.GI,法国CAC40,20200109,6031,6042.55,0,法国
FCHI.GI,法国CAC40,20200110,6042.55,6037.11,0,法国
FCHI.GI,法国CAC40,20200113,6037.11,6036.14,0,法国
FCHI.GI,法国CAC40,20200114,6036.14,6040.89,0,法国
FCHI.GI,法国CAC40,20200115,6040.89,6032.61,0,法国
FCHI.GI,法国CAC40,20200116,6032.61,6039.03,0,法国
FCHI.GI,法国CAC40,20200117,6039.03,6100.72,0,法国
FCHI.GI,法国CAC40,20200120,6100.72,6078.54,0,法国
FCHI.GI,法国CAC40,20200121,6078.54,6045.99,0,法国
FCHI.GI,法国CAC40,20200122,6045.99,6010.98,0,法国
FCHI.GI,法国CAC40,20200123,6010.98,5971.79,0,法国
FCHI.GI,法国CAC40,20200124,5971.79,6024.26,0,法国
FCHI.GI,法国CAC40,20200127,6024.26,5863.02,0,法国
FCHI.GI,法国CAC40,20200128,5863.02,5925.82,0,法国
FCHI.GI,法国CAC40,20200129,5925.82,5954.89,0,法国
FCHI.GI,法国CAC40,20200130,5954.89,5871.77,0,法国
FCHI.GI,法国CAC40,20200131,5871.77,5806.34,0,法国
FCHI.GI,法国CAC40,20200203,5806.34,5832.51,0,法国
FCHI.GI,法国CAC40,20200204,5832.51,5935.05,0,法国
FCHI.GI,法国CAC40,20200205,5935.05,5985.4,0,法国
FCHI.GI,法国CAC40,20200206,5985.4,6038.18,0,法国
FCHI.GI,法国CAC40,20200207,6038.18,6029.75,0,法国
FCHI.GI,法国CAC40,20200210,6029.75,6015.67,0,法国
